"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
31300,"36 Months",10,"MORTGAGE",80000,"Medical","AL",12.27,"None",36876.16389,725,0,0,8,"None",10054,26.3,33,0,"None","0"
10000,"36 Months",1,"NOne",64000,"Debt Consolidation","AZ",13.33,"None",35125.15764,710,2,59,10,"None",2388,48.7,22,1000,"None","0"
20000,"36 Months",4,"MORTGAGE",2e+05,"Renewable Energy","AL",6.73,"Eight",34829.36042,730,3,11,8,"None",32891,77.8,25,210,"None","0"
5000,"36 Months",0,"MORTGAGE",90000,"Medical","CA",1.93,"None",30000,775,1,0,10,"None",5768,8.9,22,403,"None","0"
3825,"36 Months",2,"MORTGAGE",32000,"Debt Consolidation","AL",18.71,"None",39602.28264,705,0,0,11,"None",6129,40.6,20,320,"None","0"
9600,"36 Months",8,"MORTGAGE",65000,"0","AL",18.61,"Eight",35681.15208,670,1,8,21,"None",16278,52.9,43,0,"None","0"
2400,"36 Months",3,"NOne",63300,"0","CA",14.73,"None",36234.26319,715,0,0,5,"None",2193,18.4,12,0,"None","0"
5000,"36 Months",10,"MORTGAGE",80000,"Medical","CA",11.07,"None",35384.10903,720,1,59,6,"None",918,35.3,10,254,"None","0"
8000,"60 Months",0,"MORTGAGE",2e+05,"Renewable Energy","CA",6.57,"None",35961.19861,720,3,73,12,"None",1530,22.5,34,88,"None","0"
25000,"60 Months",10,"MORTGAGE",108000,"Home Improvement","",2.88,"None",30559.09306,800,4,0,18,"None",304,0.3,52,84,"None","0"
10000,"36 Months",5,"NOne",35000,"Debt Consolidation","AZ",9.53,"None",36378.21319,715,0,59,7,"None",9985,52.3,14,134,"None","0"
7000,"36 Months",10,"MORTGAGE",55000,"Debt Consolidation","",24.24,"None",34217.04444,675,0,53,11,"None",29053,82.8,33,181,"None","0"
4000,"36 Months",0.5,"NOne",35000,"Debt Consolidation","CA",16.66,"None",38774.06875,740,0,0,6,"None",6513,20.4,13,0,"None","0"
5000,"36 Months",0.5,"MORTGAGE",30300,"Debt Consolidation","AZ",12.91,"None",31088.20556,750,0,0,6,"None",15813,75.7,24,514,"None","0"
10000,"36 Months",10,"MORTGAGE",50004,"Home Improvement","AL",1.03,"None",36557.07292,805,0,0,6,"None",2161,13.2,13,197,"None","0"
2100,"36 Months",0.5,"NOne",14400,"0","CA",18.75,"None",39302.30694,665,2,0,6,"None",6224,85.3,7,0,"None","0"
2750,"36 Months",5,"MORTGAGE",80000,"0","CA",3.55,"None",38506.12292,685,1,0,3,"None",64,1.2,4,120,"None","0"
14000,"60 Months",5,"NOne",70000,"Debt Consolidation","AL",8.69,"None",36911.31111,785,0,0,4,"None",961,4.7,25,815,"None","0"
10000,"36 Months",0.5,"MORTGAGE",85000,"Renewable Energy","AL",15.61,"None",34367.2875,660,3,53,8,"None",50000,93.6,36,885,"None","0"
6400,"36 Months",6,"NOne",80000,"Debt Consolidation","AL",7.81,"None",38143.39722,755,2,0,6,"None",1839,3.1,21,343,"None","0"
2000,"36 Months",6,"MORTGAGE",135000,"0","AL",0.85,"None",36635.27847,795,0,0,5,"None",154,0.9,25,176,"None","0"
14500,"60 Months",7,"MORTGAGE",93000,"Debt Consolidation","CA",23.17,"Eight",34050.19444,705,2,15,13,"None",45393,58.7,45,176,"None","0"
14000,"36 Months",5,"MORTGAGE",32004,"Debt Consolidation","CA",7.2,"None",34549.06875,700,0,54,8,"None",7319,69,16,98,"None","0"
24000,"60 Months",8,"MORTGAGE",53000,"Debt Consolidation","",22.42,"None",30000,740,1,48,21,"None",520,1.1,59,0,"None","0"
4800,"36 Months",1,"MORTGAGE",40000,"Debt Consolidation","AL",20.07,"None",34823.23125,755,0,0,14,"None",16793,21.7,37,0,"None","0"
5000,"36 Months",10,"MORTGAGE",72000,"Debt Consolidation","AZ",7.03,"None",33687.23681,740,2,0,13,"None",2846,14.7,27,0,"None","0"
10000,"36 Months",1,"NOne",93000,"0","",16.89,"None",36507.18403,710,1,81,6,"None",19697,75.8,27,467,"None","0"
4325,"36 Months",4,"MORTGAGE",95327.44,"Medical","CA",0.96,"None",31637.04444,795,1,0,5,"None",2792,5.4,12,1000,"None","0"
14400,"36 Months",8,"NOne",80400,"Debt Consolidation","",16.7,"None",30000,730,1,0,16,"None",15884,50.6,32,369,"None","0"
12000,"36 Months",10,"MORTGAGE",140000,"Home Improvement","",16.4,"None",34703.37083,785,0,0,8,"None",48631,12,31,135,"None","0"
10000,"36 Months",10,"MORTGAGE",81400,"Home Improvement","CA",12.6,"None",35011.27708,770,2,0,8,"None",12212,19,22,94,"None","0"
15000,"36 Months",5,"MORTGAGE",105000,"Debt Consolidation","",23.42,"None",36974.27708,665,3,51,12,"None",38303,90.1,28,146,"None","0"
3800,"36 Months",10,"MORTGAGE",65000,"0","",15.45,"Eight",33944.21042,700,0,14,11,"None",9266,23,34,52,"None","0"
3000,"36 Months",10,"NOne",72000,"0","AZ",11.18,"None",34912.39306,755,5,0,8,"None",12430,29.6,14,14,"None","0"
6000,"36 Months",0.5,"NOne",30000,"0","AL",18.88,"None",36892.24583,740,1,0,12,"None",5912,19.1,21,96,"None","0"
5200,"36 Months",8,"MORTGAGE",48000,"0","CA",4.45,"None",35185.37431,780,0,0,7,"None",10358,17,22,0,"None","0"
10800,"36 Months",10,"MORTGAGE",63000,"Debt Consolidation","AZ",10.72,"None",36041.31181,770,2,0,10,"None",8049,27.2,26,0,"None","0"
25000,"36 Months",10,"MORTGAGE",77000,"Debt Consolidation","AL",16.25,"None",35837.46597,680,0,64,11,"Four",20227,93.6,24,356,"One","0"
15000,"36 Months",10,"MORTGAGE",83000,"0","CA",5.94,"None",35181.26597,675,2,80,13,"None",14739,77.2,40,369,"None","0"
11500,"36 Months",1,"NOne",34928.12,"Debt Consolidation","CA",21.09,"None",35370.37639,660,1,0,12,"None",22416,67,15,381,"None","0"
16800,"36 Months",10,"MORTGAGE",1e+05,"Debt Consolidation","AL",4.32,"None",34663.41875,795,3,0,5,"None",1748,8.8,25,209,"None","0"
13000,"36 Months",10,"MORTGAGE",105000,"Debt Consolidation","CA",14.96,"None",36202.04792,710,0,0,9,"None",17954,80.2,33,0,"None","0"
24000,"36 Months",6,"MORTGAGE",63000,"Debt Consolidation","CA",15.83,"Eight",36098.22431,725,1,10,13,"None",11306,44.7,40,301,"None","0"
14400,"36 Months",6,"MORTGAGE",75000,"0","CA",6.27,"Eight",36533.29722,665,1,21,11,"None",7020,53.6,32,0,"None","0"
22750,"36 Months",2,"NOne",105000,"Debt Consolidation","AL",9.56,"None",35579.25694,705,0,0,8,"None",27142,74.6,18,0,"None","0"
8900,"36 Months",0.5,"NOne",80000,"Debt Consolidation","AL",4.47,"None",36584.35556,740,0,0,6,"None",8932,44.7,18,312,"None","0"
21000,"36 Months",10,"MORTGAGE",170000,"Debt Consolidation","AL",0.2,"Eight",34946.32222,705,0,10,4,"None",255,0.8,10,0,"None","0"
